Site_ID,Lat,Long,Increment,Upper,Lower,LOI.SOM,Type,person
6_300,29.970568,-82.221851,0_30,0,30,9.803717747,GIW,AJ
6_300,29.9703549,-82.2221323,0_30,0,30,26.53768535,GIW,AJ
6_300,29.970447,-82.221869,0_30,0,30,26.53768535,GIW,AJ
6_300,29.970597,-82.221709,0_30,0,30,26.53768535,GIW,AJ
6_300,29.970568,-82.221851,0_30,0,30,26.53768535,GIW,AJ
6_300,29.9703549,-82.2221323,30_60,30,60,8.392938166,GIW,AJ
6_300,29.970447,-82.221869,30_60,30,60,8.392938166,GIW,AJ
6_300,29.970597,-82.221709,30_60,30,60,8.392938166,GIW,AJ
6_300,29.970568,-82.221851,30_60,30,60,8.392938166,GIW,AJ
6_20,29.9717,-82.234545,0_30,0,30,11.98512126,GIW,AJ
6_20,29.97131,-82.234802,0_30,0,30,11.98512126,GIW,AJ
6_20,29.971065,-82.234693,0_30,0,30,11.98512126,GIW,AJ
6_20,29.970928,-82.23467,0_30,0,30,11.98512126,GIW,AJ
6_20,29.9717,-82.234545,30_60,30,60,1.125863577,GIW,AJ
6_20,29.97131,-82.234802,30_60,30,60,1.125863577,GIW,AJ
6_20,29.971065,-82.234693,30_60,30,60,1.125863577,GIW,AJ
6_20,29.970928,-82.23467,30_60,30,60,1.125863577,GIW,AJ
6_20,29.9717,-82.234545,0_30,0,30,11.14558155,GIW,AJ
6_20,29.97131,-82.234802,0_30,0,30,11.14558155,GIW,AJ
6_20,29.971065,-82.234693,0_30,0,30,11.14558155,GIW,AJ
6_20,29.970928,-82.23467,0_30,0,30,11.14558155,GIW,AJ
6_20,29.9717,-82.234545,30_60,30,60,0.656895623,GIW,AJ
6_20,29.97131,-82.234802,30_60,30,60,0.656895623,GIW,AJ
6_20,29.971065,-82.234693,30_60,30,60,0.656895623,GIW,AJ
